 ,Area,Mean,Min,Max,Circ.,AR,Round,Solidity
395,1972.917,255,255,255,0.673,1.160,0.862,0.930
396,2585.417,255,255,255,0.614,1.059,0.944,0.935
397,1624.306,255,255,255,0.683,1.358,0.736,0.937
398,2957.639,255,255,255,0.560,1.365,0.732,0.928
399,1541.667,255,255,255,0.612,1.186,0.843,0.926
400,1.389,255,255,255,1.000,2.000,0.500,1.000
401,3.472,255,255,255,0.764,2.610,0.383,0.769
402,1.389,255,255,255,1.000,2.000,0.500,1.000
403,1.389,255,255,255,1.000,2.000,0.500,1.000
404,1.389,255,255,255,1.000,2.000,0.500,1.000
405,2.083,255,255,255,0.967,3.000,0.333,1.000
406,1.389,255,255,255,0.785,2.646,0.378,0.667
407,1.389,255,255,255,0.785,2.646,0.378,0.667
408,3.472,255,255,255,0.599,5.000,0.200,1.000
409,156.250,255,255,255,0.911,1.203,0.831,0.924
410,1.389,255,255,255,1.000,2.000,0.500,1.000
411,1.389,255,255,255,1.000,2.000,0.500,1.000
412,1.389,255,255,255,1.000,2.000,0.500,1.000
